order_id,customer_id,employee_id,order_date,freight
1,8246,381,2025-03-08,144.78
2,8803,277,2026-02-02,174.12
3,2266,10,2026-02-09,172.27
4,4333,462,2023-08-17,28.45
5,7087,473,2025-11-12,73.86
6,1655,199,2024-02-18,20.17
7,6907,409,2024-06-30,84.59
8,8389,140,2024-08-26,60.86
9,721,51,2025-01-19,105.68
10,2728,443,2024-11-21,57.6
11,784,492,2024-03-26,57.92
12,9077,439,2024-08-13,166.57
13,7341,62,2023-11-28,38.95
14,6209,62,2026-03-26,68.8
15,2060,459,2024-01-11,45.98
16,7704,124,2023-09-01,38.18
17,7644,218,2024-02-10,26.91
18,5145,113,2024-02-24,123.14
19,1389,47,2024-01-24,27.21
20,9830,125,2026-03-26,115.31
21,5089,430,2025-12-14,79.72
22,775,44,2025-03-30,81.85
23,7003,499,2024-07-14,171.49
24,8593,310,2026-03-24,36.82
25,1732,462,2025-11-03,72.79
26,8471,303,2023-07-09,31.92
27,1147,414,2024-05-28,34.98
28,646,97,2023-06-29,90.68
29,6118,405,2023-09-17,39.98
30,3561,249,2026-06-13,175.63
31,7511,154,2025-09-14,76.59
32,7863,465,2024-03-21,66.36
33,9046,362,2024-07-29,69.61
34,6836,21,2023-12-08,51.34
35,7343,477,2026-06-07,100.97
36,2213,299,2024-07-03,189.0
37,4313,396,2024-05-23,66.11
38,874,471,2024-03-20,13.67
39,5424,165,2024-10-24,183.37
40,9497,499,2024-03-04,175.29
41,2736,123,2024-06-03,19.0
42,3151,243,2023-07-05,195.03
43,4984,170,2025-01-21,198.61
44,3547,362,2024-05-26,92.38
45,7511,114,2025-06-13,167.37
46,2109,456,2025-01-14,37.39
47,5718,464,2026-01-20,122.67
48,3524,257,2023-07-17,149.1
49,8746,296,2024-12-18,29.08
50,5476,298,2024-10-29,31.25
51,8265,161,2023-10-16,152.34
52,5005,9,2024-04-08,199.69
53,4202,399,2023-07-08,88.12
54,8875,274,2026-04-07,155.13
55,3603,375,2026-06-16,44.32
56,808,383,2023-10-12,94.01
57,6613,242,2024-01-11,69.8
58,4670,56,2024-05-01,92.36
59,2219,24,2025-10-25,14.06
60,3678,480,2023-09-13,96.23
61,9150,350,2024-10-21,139.26
62,5250,6,2024-02-08,47.22
63,5751,412,2026-02-12,68.38
64,9914,57,2024-05-04,70.85
65,1063,39,2023-08-07,10.81
66,3926,319,2024-02-14,148.16
67,9038,366,2025-12-06,177.67
68,4909,482,2023-09-15,167.02
69,8778,243,2025-07-20,16.43
70,9604,434,2024-04-06,131.43
71,4307,357,2024-07-25,159.06
72,7995,435,2026-01-13,121.69
73,9705,359,2025-10-17,55.24
74,1802,28,2025-12-24,114.41
75,355,48,2026-03-28,120.94
76,2683,247,2025-02-08,112.88
77,2766,127,2025-11-27,199.91
78,2410,483,2024-11-08,63.05
79,572,8,2024-02-12,144.68
80,6625,252,2026-02-21,173.26
81,2925,361,2025-01-01,59.44
82,3816,236,2024-10-19,98.88
83,7337,438,2023-10-08,89.19
84,108,26,2023-09-27,37.84
85,2794,337,2023-07-09,70.17
86,5649,477,2024-10-12,128.35
87,9047,49,2024-06-03,161.79
88,3948,113,2026-05-11,159.78
89,5876,377,2025-10-23,175.37
90,4339,41,2024-09-25,79.55
91,5037,266,2023-06-24,151.66
92,932,179,2023-07-11,103.32
93,3923,70,2023-12-28,24.07
94,4992,416,2025-08-02,145.1
95,5356,395,2025-03-17,136.94
96,5874,256,2023-10-15,81.22
97,1449,109,2023-09-30,121.3
98,3306,222,2024-08-11,174.71
99,5878,396,2024-08-26,64.76
100,5583,1,2026-03-06,48.81
101,101,310,2024-02-11,45.3
102,2662,82,2026-03-27,26.43
103,4539,107,2024-02-14,87.96
104,8297,36,2024-05-29,114.8
105,3598,305,2024-12-25,58.48
106,635,167,2025-03-14,179.57
107,146,462,2025-06-20,158.59
108,1857,297,2026-01-11,186.82
109,2683,387,2023-10-26,168.86
110,5190,44,2025-03-20,177.02
111,1942,434,2025-11-11,84.05
112,5408,242,2024-07-26,131.55
113,3346,64,2023-12-11,108.04
114,339,18,2026-03-25,67.9
115,5395,80,2024-01-14,94.85
116,7082,116,2025-10-06,34.03
117,1644,254,2024-02-18,48.67
118,1877,496,2023-08-19,147.01
119,9911,424,2023-09-20,21.48
120,8417,87,2023-09-17,60.51
121,1213,369,2026-06-15,145.67
122,485,27,2026-06-10,151.25
123,2834,235,2025-01-08,195.83
124,1213,306,2025-05-24,121.35
125,2799,491,2024-09-04,28.36
126,1494,369,2023-09-25,191.85
127,9290,260,2025-05-04,170.18
128,2926,437,2023-12-26,110.55
129,5092,411,2025-04-14,49.56
130,7197,335,2024-11-07,50.7
131,4934,53,2025-03-08,186.19
132,7460,430,2025-05-14,16.72
133,2319,335,2023-07-28,98.9
134,3856,67,2024-04-06,149.91
135,1505,37,2024-03-24,181.76
136,2045,109,2024-09-01,28.11
137,792,226,2025-10-26,151.09
138,5318,408,2025-10-14,48.16
139,4811,479,2025-03-26,109.4
140,99,298,2023-06-28,42.49
141,4308,433,2024-10-28,30.96
142,4336,296,2026-05-01,138.1
143,9916,295,2023-08-02,118.26
144,3172,379,2025-07-13,32.39
145,3641,382,2025-02-15,59.51
146,8596,129,2024-12-29,163.19
147,1806,57,2025-07-11,101.18
148,5752,36,2024-10-14,17.49
149,6227,381,2025-04-24,184.13
150,8176,174,2023-12-31,183.39
151,1949,345,2026-04-30,43.12
152,8297,14,2023-09-08,15.77
153,9741,420,2025-02-15,80.59
154,5548,286,2026-01-10,179.21
155,2668,83,2025-04-30,71.31
156,3631,247,2024-01-20,166.93
157,7466,159,2025-04-13,154.17
158,7675,39,2026-02-28,162.85
159,3709,216,2024-05-21,26.77
160,7443,197,2023-10-30,118.73
161,7094,240,2025-03-29,90.54
162,7438,312,2026-02-13,32.2
163,2385,416,2025-10-14,61.56
164,4623,174,2024-04-12,187.53
165,5487,383,2023-07-18,185.73
166,9319,475,2024-07-19,74.36
167,8244,411,2026-04-06,110.29
168,9786,183,2023-06-24,117.01
169,5198,323,2024-05-02,177.14
170,861,470,2025-08-28,62.42
171,8718,472,2023-08-01,64.81
172,1680,144,2023-11-30,131.11
173,747,145,2024-01-04,139.0
174,2099,436,2024-02-07,85.29
175,647,54,2024-08-25,120.37
176,399,291,2023-06-23,83.52
177,1563,117,2023-11-22,91.37
178,7677,336,2024-10-08,34.09
179,789,333,2025-07-29,29.31
180,7611,380,2024-06-28,138.24
181,3366,146,2025-03-26,168.87
182,2755,405,2023-10-13,171.01
183,7381,495,2026-06-16,60.31
184,5835,172,2026-03-18,24.99
185,9897,213,2025-12-20,45.47
186,6842,355,2024-04-09,195.36
187,3981,100,2024-10-22,198.68
188,810,16,2026-01-01,81.75
189,3310,257,2024-12-02,183.13
190,8948,301,2025-11-27,69.34
191,7497,203,2024-01-05,82.43
192,4165,10,2025-08-18,12.03
193,9742,430,2026-04-07,91.19
194,853,2,2023-09-25,63.65
195,9609,83,2023-07-03,164.46
196,1846,224,2025-10-28,107.21
197,7133,408,2024-12-28,79.85
198,5556,64,2025-08-22,101.23
199,3705,27,2024-02-19,82.15
200,7162,195,2026-03-07,32.12
201,5008,308,2024-05-26,27.79
202,7238,247,2026-01-19,186.04
203,9269,312,2024-10-05,42.3
204,7229,36,2025-07-02,187.37
205,2292,129,2025-08-09,18.86
206,2740,485,2024-05-29,127.04
207,9246,373,2024-11-08,171.93
208,841,123,2024-11-22,53.52
209,4422,432,2023-10-09,105.84
210,5555,220,2023-11-18,181.93
211,4091,263,2025-06-17,52.5
212,1435,222,2024-06-01,175.71
213,3232,130,2026-04-30,145.29
214,4986,174,2026-06-11,53.71
215,8649,446,2025-01-07,129.84
216,5783,173,2025-06-23,76.15
217,804,165,2024-05-18,196.46
218,6360,124,2026-04-15,34.07
219,1580,275,2025-07-13,152.7
220,1830,372,2026-06-18,118.62
221,9486,293,2025-08-20,140.34
222,4612,483,2025-09-25,70.08
223,39,278,2026-02-12,198.11
224,2529,182,2024-02-28,75.14
225,935,22,2025-04-15,166.52
226,7572,140,2024-09-22,135.11
227,9108,101,2025-05-27,141.47
228,8200,442,2026-05-17,121.31
229,60,93,2026-04-22,107.35
230,771,445,2025-11-21,192.95
231,1829,70,2025-09-02,86.46
232,59,144,2025-12-25,21.25
233,3804,472,2023-09-24,21.43
234,5107,383,2023-10-14,163.36
235,8427,448,2023-07-27,173.78
236,7303,120,2024-12-09,47.35
237,6109,103,2025-07-19,108.33
238,4041,366,2023-12-28,169.78
239,9411,37,2024-04-18,132.18
240,1032,4,2025-02-21,116.34
241,8136,138,2026-05-12,105.92
242,3353,447,2024-06-28,54.51
243,1227,452,2024-07-24,171.21
244,5439,21,2026-03-06,115.08
245,8551,79,2025-02-21,102.24
246,5913,186,2026-02-19,150.08
247,4199,448,2023-08-24,46.21
248,6017,11,2024-11-12,53.36
249,1926,65,2025-06-21,67.35
250,1146,425,2023-09-08,104.77
251,3347,407,2024-03-27,61.04
252,5536,63,2026-01-06,59.69
253,1541,47,2025-12-07,182.56
254,7450,451,2025-12-12,198.45
255,1507,354,2025-06-06,57.25
256,1173,211,2024-07-19,27.47
257,6165,359,2025-03-10,143.75
258,7597,77,2025-10-29,37.86
259,2491,348,2026-02-28,54.94
260,4688,256,2024-11-16,162.69
261,5435,71,2023-10-06,129.41
262,3128,203,2025-01-22,194.39
263,9350,331,2025-03-21,10.61
264,9094,76,2025-04-09,133.83
265,9913,302,2024-12-08,82.33
266,3565,463,2025-09-23,99.65
267,5631,55,2024-06-19,65.69
268,4328,456,2025-03-17,152.22
269,50,437,2025-07-10,125.78
270,1019,126,2023-08-19,180.94
271,3307,28,2025-12-15,50.15
272,7311,466,2026-04-28,100.08
273,9660,268,2024-06-23,34.16
274,5182,397,2023-08-26,39.15
275,4978,347,2026-01-06,93.07
276,9044,345,2024-03-16,173.51
277,2962,348,2024-09-23,111.03
278,2152,222,2024-06-14,20.72
279,8439,484,2024-02-26,75.35
280,6610,67,2026-03-26,162.78
281,7685,434,2023-07-17,145.0
282,2964,435,2024-07-13,26.14
283,3403,455,2023-10-19,184.34
284,6499,224,2023-10-29,194.31
285,9951,73,2024-12-29,136.98
286,5832,421,2025-12-15,189.84
287,3691,461,2026-04-22,131.76
288,3905,150,2023-08-22,80.98
289,8680,178,2023-09-09,89.53
290,9918,203,2025-06-16,120.19
291,1000,311,2026-02-07,177.23
292,526,226,2025-09-05,172.36
293,8858,216,2025-10-29,103.27
294,6600,389,2025-03-04,101.86
295,136,330,2026-03-21,136.36
296,9497,110,2024-12-21,119.19
297,536,437,2025-12-10,92.96
298,6592,314,2024-11-10,190.26
299,3652,11,2026-04-10,31.47
300,3368,113,2024-02-25,99.45
301,6849,389,2023-11-06,191.35
302,2031,208,2024-05-27,131.13
303,1542,307,2024-09-11,181.54
304,5326,133,2026-04-07,185.43
305,1434,242,2023-11-02,159.7
306,2228,17,2023-11-03,10.78
307,7631,412,2025-01-23,171.91
308,6435,365,2024-10-31,192.65
309,9825,151,2025-09-29,179.76
310,4527,20,2025-10-28,41.09
311,5125,320,2023-12-11,21.31
312,6869,74,2025-09-17,115.64
313,264,216,2023-10-30,71.66
314,6364,85,2024-10-29,38.4
315,948,212,2023-12-31,182.49
